,sentence,class
4584,"Однако Дамблдор, как и Грозный Глаз, как Сириус и родители Гарри, как его бедная сова - все они ушли, и теперь он никогда уже не сможет поговорить с ними.",original
633,"Панический страх обуял Гарри, он увидел, как Реддл остановился между колонн, поднял голову и посмотрел в каменное лицо Слизерина, высившееся в полумраке под сводами.",original
3272,"Его большая белобрысая голова, торчащая из полосатого воротника пижамы, как будто висела в воздухе отдельно от тела, раскрыв рот от удивления и страха.",original
2727,"- Когда следующее мамино письмо пройдет проверку, у меня будут крупные неприятности, - горько сказал Рон, помогая своей чашке устоять на трепещущих ножках.",original
4413,"- Мой Лорд, - произнесла сдавленным от охвативших ее чувств голосом смуглая женщина, которая сидела чуть дальше от Волан-де-Морта, - то, что вы здесь, в нашем родовом поместье, честь для нас.",original
4759,"Гарри окинул взглядом пол. Небо снаружи стало ярче: пробивавшийся в комнату луч света позволял хорошо разглядеть листки бумаги, книги и мелкие вещицы, разбросанные по ковру.",original
3540,"- Морфин должен явиться четырнадцатого сентября на слушание по обвинению в колдовстве, осуществленном в присутствии магла, с причинением ущерба и неудобств вышеупомянутому маглу…",original
5520,"Потом рядом возникли Джинни, Невилл и Полумна, а потом все семейство Уизли, Хагрид, Кингсли, Макгонагалл, Флитвик, Стебль - Гарри не мог разобрать ни слова из того, что все разом кричали ему, не мог понять, чьи руки обнимают, тянут, толкают его; сотни людей теснились к нему, желая прикоснуться к Мальчику, Который Выжил, благодаря которому все наконец кончилось…",original
25,"Целую минуту все трое стояли и неотрывно смотрели на маленький сверток - плечи Хагрида сотрясались, профессор МакГонагалл яростно моргала глазами, а сияние, всегда исходившее от глаз Дамблдора, сейчас померкло.",original
2522,"- Попомните мои слова, она захочет отомстить Дамблдору за то, что он назначил нового преподавателя, не посоветовавшись с ней, - сказала Гермиона, складывая газету.",original
281,"Тролль, с учетом его размеров, разумеется, не мог почувствовать, что на нем повис маленький худенький Гарри, но даже тролль не мог не заметить, что ему в нос суют длинный кусок дерева.",original
4194,"Только это зеленоватое свечение да свет двух волшебных палочек разгоняли бархатистый мрак, хотя испускаемые палочками лучи уходили в него совсем не так далеко, как мог бы ожидать Гарри.",original
4330,"Однако ответить ему никто не успел - волшебник с землистым лицом и короткой черной челкой, только что вернувшийся в пустую раму под потолком, резким голосом сообщил:",original
4601,"Молли говорить об этом не обязательно, - сказал мистер Уизли, преграждая Гарри дорогу, - но… ээ… видишь ли, Тед Тонкс прислал мне большую часть того, что осталось от мотоцикла Сириуса, и я, ээ, спрятал, вернее, так сказать, держу все это в курятнике.",original
4116,Подготовка к решающему матчу обладала всеми характерными для такого события особенностями: ученики соперничающих факультетов пытались при каждой встрече с противниками посильнее их застращать.,original
1951,"Беречь, приумножать и шлифовать сокровища магических познаний, накопленные нашими предками, - первейшая обязанность тех, кто посвятил себя благородному делу преподавания.",original
710,"Практическое занятие по защите от темных искусств было у них всего один раз, они его хорошо помнили: профессор Локонс принес клетку с шалунами пикси, выпустил их, и они перевернули все в классе вверх дном.",original
2736,"В действительности же ему не терпелось узнать, какое сокровище спрятано в комнате со стеклянными шариками, и поэтому он хотел, чтобы запретные сны продолжались.",original
2405,"Больница святого Мунго пообещала вчера вечером провести детальное расследование обстоятельств гибели сорокадевятилетнего Бродерика Боуда, сотрудника Министерства магии, задушенного в своей постели «комнатным» растением.",original
1603,"Книги исчезли, и их место занимала теперь целая куча сломанных вредноскопов, пергамента и перьев, а сверху лежало что-то серебристое, напомнившее Гарри мантию-невидимку.",original
2661,"Но это нимало ее не смутило: она воспользовалась их молчанием, чтобы по-прежнему изливать на них поток жутких предсказаний, и ее громкий свистящий шепот заставил Симуса потратить добрых пять минут на поиски утечки из своего котла.",original
2158,"- И сколько, ты думаешь, времени понадобится Амбридж, чтобы издать еще один декрет: кто пожалуется на генерального инспектора, будет немедленно исключен?",original
530,"Он очумело повертел головой: в коридоре пусто, только от тел бежит прочь длинная вереница пауков, а из-за закрытых дверей глухо доносятся голоса учителей.",original
341,"Рональд Уизли, всю жизнь находившийся в тени своих братьев, увидел себя одного, увидел себя лучшим учеником школы и одновременно капитаном команды-чемпиона по квиддичу, обладателем сразу двух Кубков - он превзошел своих братьев.",original
761,"Сидели за столом еще два часа, Гарри и Рон в рождественских колпаках из хлопушек перепробовали все кушанья Они первые встали из-за стола, и профессор Трелони громко вскрикнула:",original
5186,"- Хотелось бы только добавить, что, хотя все сотрудники «Поттеровского дозора» восхищены отвагой Хагрида, мы настоятельно советуем сторонникам Гарри Поттера воздержаться от подобных мероприятий.",original
3832,"Гарри оставалось только гадать, означает ли это, что Слизнорт вовсе не так забывчив, как кажется, что он просто-напросто решил не давать Гарри лишней возможности лезть к нему с вопросами.",original
3744,"- Когда я был на пятом курсе, никто несколько месяцев и шагу ступить не мог без того, чтобы не взлететь в воздух и не оказаться подвешенным за лодыжку.",original
1788,"Когда Сириус вырвал из его цепких рук большое золотое кольцо с геральдическим украшением Блэков, Кикимер залился слезами гнева и заковылял прочь, сдавленно рыдая и честя Сириуса такими словами, каких Гарри раньше не слыхивал.",original
550,"Артур Уизли, глава Отдела по противозаконному использованию изобретений маглов, был сегодня оштрафован на пятьдесят галлеонов за магические манипуляции с магловским автомобилем.",original
1501,"Она последовала совету Хагрида и писем не вскрывала, но некоторые из ее недоброжелателей нарочно присылали кричащие письма, которые взрывались прямо над столом Гриффиндора и орали ругательства на весь Большой зал.",original
4128,"Грубо отпихнув Гарри, он тоже опустился на колени, вытащил волшебную палочку и прошелся ею по глубоким ранам, нанесенным заклятием Гарри, бормоча при этом похожие на какие-то песнопения магические формулы.",original
241,"Он поморщился, словно от боли, представив себе, что год за годом он будет ковылять по территории школы, волоча за Хагридом его тяжеленную сумку, и наблюдать, как Рон и остальные переходят с курса на курс и становятся настоящими волшебниками.",original
1579,"К Гарри, как из прошлой жизни, пришло смутное воспоминание о том, что два года назад он очень недолго ходил в Дуэльный клуб в Хогвартсе… все, чему он там научился, - это обезоруживающее заклинание, «экспеллиармус»… и какой в этом толк, даже если ему и удастся обезоружить Волан-де-Морта?",original
2244,"Он тоже волновался, но знал, что его волнение - пустяк по сравнению со страхом Рона, который держался за живот, с серым лицом и сжатыми губами уставясь в пустоту.",original
60,"Гарри видел, как змея, проползая мимо них, просто притворилась, что хочет схватить их за ноги, но когда они уже сидели в машине дяди Вернона, Дадли рассказывал, как она чуть не откусила ему ногу, а Пирс клялся, что она пыталась его задушить.",original
686,"Министерские машины, казалось, не отличались от магловских, и все же Гарри заметил, с какой легкостью они лавировали в пробках Куда там новому автомобилю дяди Вернона!",original
1652,"Может быть, дожидаясь хоть какого-то сигнала из мира, по которому он тосковал, он впал в такое отчаяние, что слишком остро реагирует на совершенно обычные звуки?",original
4959,"В лужице света поплыли деревянные стружки, золото, а на подоконнике сидел на корточках молодой человек с золотистыми волосами, похожий на огромную птицу.",original
4298,"- Невилл лежит в палате, мадам Помфри считает, что он поправится полностью, ну еще профессору Флитвику досталось, но он тоже чувствует себя неплохо, слабость в ногах, вот и все.",original
5215,"Даже и теперь, после долгого плена и пыток, мысль о Темном Лорде, завладевшем Бузинной палочкой, похоже, не столько отталкивала его, сколько восхищала.",original
130,"Живет в хижине на территории школы и время от времени напивается и пытается творить чудеса, а все кончается тем, что вспыхивает его собственная постель.",original
4284,"Кое-как встав, Гарри огляделся вокруг в поисках волшебной палочки, собираясь снова устремиться за Снеггом, но, копошась пальцами в траве, отбрасывая мелкие веточки, он понимал: слишком поздно.",original
1458,"- Мистер Седрик Диггори также использовал заклинание головного пузыря и первым вернулся со своим пленником, но вернулся на минуту позже установленного времени, - пуффендуйцы на трибунах разразились криками и аплодисментами, Чжоу поглядела на него, и ее глаза светились от радости.",original
3791,"Все, что я знаю, было получено мной уже после того, как он покинул Хогвартс, и потребовало кропотливой работы: нужно было найти людей, которых можно разговорить хотя бы хитростью, отыскать старые документы, опросить свидетелей - и маглов, и волшебников.",original
3180,"Чем больше он старался сосредоточиться на печатной странице, которая лежала перед ним на столе, тем отчетливее видел перед собой злорадное лицо одного из своих политических противников.",original
157,"На ее лотке лежали пакетики с круглыми конфетками-драже «Берти Боттс», которые, если верить надписи на пакетиках, отличались самым разнообразным вкусом.",original
2008,"Выискивать в «Оракуле» фрагменты сновидений было очень скучно, и домашнее задание, состоявшее в том, чтобы месяц вести дневник сновидений, радости не добавило.",original
3226,"Фадж поднялся на ноги, премьер-министр после минутной заминки сделал то же самое, наблюдая, как вновь прибывший выпрямляется, отряхивает длинную черную мантию и осматривается по сторонам.",original
1046,"Голос был выше, чем у Добби, - тоненький, дрожащий голосок, и Гарри заподозрил - сколь ни трудно себе представить такое в отношении домашних эльфов, - что перед ним, скорее всего, женщина.",original
3989,"- Теперь откройте учебники на странице двести тринадцатой, - самодовольно улыбнувшись, сказал Снегг, - и прочитайте первые два абзаца, посвященные заклятию Круциатус…",original
113,"Дядя Вернон, с ужасом посмотрев на Хагрида, громко закричал, схватил тетю Петунью и Дадли, втолкнул их во вторую комнату и тут же с силой захлопнул за собой дверь.",original
1023,"Крошечный мальчуган не старше двух лет, присев возле палатки, похожей на пирамиду, увлеченно тыкал волшебной палочкой в слизняка на траве, который уже раздулся до размеров сосиски.",original
2740,"Хотя пуффендуйцам удалось-таки выиграть у Слизерина с минимальным перевесом, гриффиндорцы почти не надеялись на победу, в основном из-за обескураживающей игры Рона в прошлых матчах (конечно, ему никто об этом не напоминал).",original
1160,"Войдя на кухню, Гарри и все остальные увидели, как хозяин дома торопливо роется в ящиках кухонного стола - «У меня где-то здесь было перо!» - и затем он склонился к огню, обращаясь к…",original
5443,"Потом он разорвал надвое фотографию, которую держал в руках, оставив себе смеющуюся Лили и отбросив другую половинку с Джеймсом и Гарри на пол, под комод…",original
3728,"Вечеринку у Слизнорта она покинула еще до его возвращения - так, во всяком случае, сказал Гарри разгневанный Маклагген, - когда же он добрался до общей гостиной, Гермиона уже легла спать.",original
4430,"Я перед самым приездом туда переболел драконовой оспой, и, хотя был уже незаразен, моя рябая, зеленоватого оттенка физиономия популярности мне среди учеников отнюдь не прибавляла.",original
522,"С Добби, правда, и сейчас так обходятся, - признался эльф и вытер слезы наволочкой, - но все-таки с тех пор, как вы победили Кого-Нельзя-Называть, жить стало гораздо легче.",original
3661,"Он заметил, с какой злостью Джинни смотрит на Рона, и, вспомнив ее репутацию непревзойденного мастера по Летучемышиному сглазу, примчался с другого конца стадиона, чтобы вмешаться, пока не дошло до беды.",original
3224,"Хоть он и негодовал по поводу того, в какое положение его поставили, но все же невольно сочувствовал загнанному человеку, съежившемуся в кресле напротив.",original
4976,"Гермиона в те вечера, когда им приходилось довольствоваться лишь ягодами да заплесневелым печеньем, тоже вела себя достаточно прилично, разве что становилась немного вспыльчивее или погружалась в мрачное молчание.",original
5277,"Ночью это сделать невозможно - вы сами слышали, что происходит, если ктото высовывается на улицу с наступлением темноты: включены Воющие чары, так что эти ребята вас схамкают, как лукотрусы - яйца докси.",original
3036,"Он больше не стоял в зале - он был обвит кольцами существа с красными глазами, так крепко скован по рукам и ногам, что не знал, где кончается его тело и начинается тело этого существа, - они слились воедино, связанные болью, и пути к избавлению не было…",original
3519,"Круглый кабинет выглядел точно так же, как и всегда: хрупкие серебряные приборы тихонько жужжали и попыхивали на столиках с точеными ножками, портреты прежних директоров и директрис дремали в своих рамах, и Фоукс, великолепный феникс Дамблдора, сидел на жердочке у двери, с интересом поглядывая на Гарри блестящим глазом.",original
4728,"Официантка завизжала и отскочила к двери кафе, а Гарри метнул еще одно Оглушающее заклятие в связавшего Рона Пожирателя смерти со странно скрученным лицом, но промахнулся - заклятие, отразившись от витрины кафе, ударило в официантку, и та рухнула на пол у самой двери.",original
4192,"На стене вновь появился слепящий, серебристый контур арки, и на этот раз он не гаснул: орошенный кровью камень внутри него просто исчез, оставив проход, ведший, казалось, в непроглядную тьму.",original
4479,"Больше всего понравился Гарри тот случай, когда дядя Вернон, не знавший, что Дадли, в очередной раз укладывая чемодан, засунул в него свои гимнастические гири, попытался забросить его в багажник и рухнул на землю, ревя от боли и зверски ругаясь.",original
2920,"В наступающих сумерках маленькими гроздьями зажглись огни деревень; затем внизу показалась извилистая дорога с одиноким автомобилем, пробирающимся среди холмов…",original
5,"В отличие от мистера Дурсля, находившиеся на улице люди отлично видели этих сов, стремительно пролетающих мимо них одна за другой, и широко раскрывали рты от удивления и показывали на них пальцами.",original
90,"Если сегоднябыл понедельник - а в этом Дадли можно было доверять, он всегда знал, какой сегодня день, благодаря телевизионной программе, - значит, завтра, во вторник, Гарри исполнится одиннадцать лет.",original
5125,"- Ваши защитные заклинания здорово работают - я вас так и не смог увидеть и услышать тоже, но я был уверен, что вы где-то рядом, так что в итоге вытащил спальник и стал ждать, пока вы появитесь.",original
1767,"Все тут же бросились к окну и, посмотрев вниз, увидели у входа в дом чью-то растрепанную рыжеватую макушку и несколько котлов, неустойчиво поставленных один на другой.",original
4635,"- Боюсь, эти не такие новые, как у Рона, они принадлежали моему брату Фабиану, а он был не очень аккуратен с вещами, у них сзади небольшая вмятинка, но…",original
2486,"Через час-другой шутка приелась и Гарри - особенно когда колдовство стало сходить на нет, так что его голова на плакате просто выкрикивала отдельные слова вроде «АМБРИДЖ!» или «ИДИОТЫ!» с постепенно уменьшающимися интервалами и все более и более высоким голосом.",original
3341,"Видишь, какая это важная работа, я ему все время повторяю: глупо жалеть о дурацкой возне с какими-то свечами зажигания, тостерами и прочей магловской ерундой, - закончила свою речь миссис Уизли с таким строгим видом, как будто Гарри утверждал, что это вполне естественно - тосковать по свечам зажигания.",original
3594,"- Меня ни за что на свете не взяли бы в Пожиратели смерти! - возмутился Рон, размахивая вилкой перед носом у Гермионы, так что кусок сосиски сорвался, улетел в сторону и стукнул Эрни Макмиллана по голове.",original
3470,"Заклинаю вас - если заметите что-нибудь необычное или подозрительное в замке или за его пределами, немедленно сообщайте об этом кому-либо из преподавателей.",original
784,"Рон, пробившийся сквозь толпу к Гарри, сложился пополам от смеха, глядя, как Малфой выползает из черного балахона, из-под которого все еще старался выбраться Гойл.",original
1884,"- Не вздумай сейчас разворачивать, люди уже собираются ужинать, все идите вниз, - сказала она, но, едва очутившись вне поля ее зрения, Рон мигом исступленно сорвал бумагу и, лучась воодушевлением, исследовал каждый дюйм новой метлы.",original
3614,"- Что за дерзость! - раздался негромкий голос одного из портретов, и Финеас Найджелус Блэк, прапрадедушка Сириуса, поднял голову, которую прежде опустил на руки, притворяясь спящим.",original
3082,"- Гарри вспомнил, что говорил ему Рон, и слова полились из него безудержным потоком: - Почем вы знаете, что он не пытался помочь Волан-де-Морту, облегчить ему доступ в мое…",original
5469,"Сердцевины отреагировали друг на друга совершенно неожиданным для лорда Волан-де-Морта образом, при том что он и не подозревал, что ваши палочки - близнецы.",original
1756,"Из ковра при каждом шаге вылетали облачка пыли, а в длинных болотного цвета бархатных шторах стояло какое-то жужжание, словно там роились невидимые пчелы.",original
72,"Дядя Вернон, как обычно, погрузился в чтение газеты, а Дадли принялся стучать по столу форменной узловатой палкой, которую он теперь повсюду таскал с собой.",original
1132,"Он знал, что должен чувствовать себя вымотанным, уже три часа утра, но сна у него не было ни в одном глазу, он был совершенно бодр и крайне встревожен.",original
3279,"- И если дом действительно заколдован, право владения им, скорее всего, должно перейти к старшему из ныне живущих родственников Сириуса, то есть к его двоюродной сестре Беллатрисе Лестрейндж.",original
2929,"Роющиеся в мусоре фестралы скрылись из виду; над головами шестерых друзей сомкнулась тьма, и с глухим скрежещущим звуком они канули в недра Министерства магии.",original
4108,"Как ни мучила его совесть, он то и дело ловил себя на мысли о том, как можно было бы остаться с ней наедине: если бы Слизнорт снова устроил вечеринку, это было бы идеально, поскольку Рона туда не приглашали.",original
2017,"- Я бы не хотела подвергать критике порядки, установленные в этой школе, - сказала она, растягивая большой рот в улыбке, которой очень трудно было верить, - но вы в этом классе испытали воздействие весьма безответственных волшебников, поистине безответственных.",original
1342,"Гермиона весь урок притягивала к себе все, что было в классе, - губки для доски, луноскопы, корзины для мусора, они летели к ней, как будто она волшебный магнит.",original
2443,"- Знаешь, - с отчаянием сказал он, подавшись к ней, чтобы никто не услышал, - давай не будем сейчас говорить о Седрике… давай поговорим о чем-нибудь другом.",original
3147,"Впрочем, в одном он был уверен: хотя сейчас ему и несладко, через несколько дней, очутившись в доме номер четыре на Тисовой улице, он будет страшно скучать по Хогвартсу.",original
659,"Иногда им все же удавалось поймать волшебника, но простецы не знали, что волшебникам огонь не страшен: они умели замораживать огонь и притворяться, что им очень больно.",original
3382,"- «Одно простое заклинание, и вы погружаетесь в высококачественную, сверхреалистическую грезу наяву продолжительностью тридцать минут, что позволяет удобно уместить ее в стандартный школьный урок практически незаметно для сторонних наблюдателей (возможные побочные эффеты - отсутствующее выражение лица и незначительное слюнотечение).",original
852,"Блэк полулежал, прислонясь спиной к стене, его впалая грудь часто вздымалась и опускалась, глаза неотрывно следили за Гарри, который медленно подошел к нему и направил волшебную палочку Блэку прямо в сердце.",original
2319,"Он нарочно сохранял неудобную позу, чтобы не задремать; боялся, что во сне опять станет змеей, а проснувшись, обнаружит, что искусал Рона или прополз по дому и напал на кого-то еще.",original
4478,"За последние четыре недели Вернон Дурсль передумывал каждые двадцать четыре часа и при этом всякий раз либо затаскивал вещи в машину, либо вытаскивал их из нее.",original
2357,"Заклинанием ее увеличили, как в свое время форд «Англию», и, хотя снаружи она выглядела обычно, в ней удобно разместились вдесятером, включая водителя Наземникуса.",original
2218,"Они заторопились к тому месту, которое указал Добби, - голой стенке напротив громадного гобелена с изображением Варнавы Вздрюченного и его дурацкой затеи обучить троллей балету.",original
3201,"В конце концов премьер-министр махнул рукой и просто стал надеяться, что в течение оставшегося срока его пребывания в должности мерзкая штуковина будет хранить молчание и неподвижность.",original
3275,"- Наша проблема, - продолжал он, обращаясь к Гарри, как будто их и не перебивали, - состоит в том, что Сириус оставил тебе, среди прочего, дом номер две-надцать на площади Гриммо.",original
3324,"Пожалуй, он довольно симпатичный, но какой-то уж очень самовлюбленный и еще, что бы он там ни говорил, слишком сильно удивляется, что девочка из семьи маглов может стать хорошей волшебницей.",original
2349,"- Когда-нибудь, Гарри, - с большим раздражением сказала Гермиона, - ты все-таки прочтешь «Историю Хогвартса», и, может быть, она напомнит тебе, что с территории Хогвартса нельзя трансгрессировать.",original
2015,"Когда больше половины класса уже смотрело не в книгу, а на Гермиону, профессор Амбридж решила, что не может больше делать вид, будто ничего не происходит.",original
1028,"Мимо то и дело сновали сотрудники Министерства, они дружески приветствовали мистера Уизли, а тот давал краткие пояснения, в основном для Гарри и Гермионы - его собственные дети давно были в курсе всех министерских дел.",original
1378,"Они были куда замысловатее собственноручного изделия Добби, но первенство по скромности, конечно, принадлежало подарку Дурслей - один-единственный пакетик с бумажной салфеткой.",original
2761,"- Я не хочу отнимать у вас слишком много времени… понимаю - у вас экзамены и все такое… если бы вы могли выбираться сюда под мантией-невидимкой, скажем, раз в неделю, чтобы поболтать с ним немножко…",original
2524,"Опередившие их ученики расселись на земляном полу, опершись спиной о валуны и стволы деревьев, сложив руки на груди или крепко обхватив ими колени; видно было, что всем им немножко не по себе.",original
2523,"Под его ногами пружинил мох, вокруг росли деревья; их густая листва затеняла окна и потолок, и сквозь нее лишь кое-где пробивались косые лучи света, так что в комнате царил мягкий зеленоватый полумрак.",original
457,"Гарри разглядел в полумраке полки вдоль стен, уставленные большими стеклянными банками, в которых плавало омерзительное на вид непонятно что, не вызвавшее у Гарри ни малейшего любопытства, по крайней мере сейчас.",original
2653,"- А ты что скажешь? - этот требовательный вопрос Гермионы был адресован Рону, и Гарри невольно вспомнил свой первый ужин на площади Гриммо, когда миссис Уизли точно таким же тоном воззвала к мужу.",original
1056,"- Люциус на днях сделал очень щедрое пожертвование больнице святого Мунго, где лечат магические травмы и болезни, Артур, так что здесь он в качестве моего гостя.",original
2607,"На физиономии Малфоя вспыхнуло злобное удовлетворение - в последний раз Гарри видел его таким, когда Амбридж неожиданно явилась инспектировать Хагрида.",original
821,"При теперешних обстоятельствах единственное, что мог сделать Гарри - изо всех сил сдерживать себя, чтобы вслед за Гермионой не закатить ему хорошую оплеуху.",original
4786,"- Я же велел тебе не называть ее «грязнокровкой»! - рявкнул Гарри, но эльф уже и сам наложил на себя взыскание: упал на пол и начал биться об него лбом.",original
5414,"- Я просидел здесь всю эту долгую ночь перед самой победой, - почти шепотом произнес Волан-де-Морт, - неотрывно думая о том, почему Бузинная палочка отказывается выполнять то, для чего она предназначена, отказывается сделать то, что она должна, по легенде, сделать для своего законного владельца… и мне кажется, я нашел ответ.",original
952,"Но тете Петунье было невдомек, что спрятано под все той же поднимающейся половицей в комнате наверху; у нее и мысли не возникало, что Гарри вовсе не собирается следовать диете.",original
1773,"- Кикимер никогда ничего не уносит с надлежащего места в доме господина, - возразил эльф, а потом забормотал скороговоркой: - Госпожа не простила бы Кикимеру, если бы выкинули гобелен, семь веков он был в семье, Кикимер должен его спасти, Кикимер не позволит господину, осквернителям рода и их пащенкам уничтожить семейное достояние…",original
578,"Пивзу окончательно наскучила песня «Гарри Поттер, ты злодей», а Эрни МакМиллан смягчился до такой степени, что как-то на травологии вполне вежливо попросил Гарри передать ему корзинку с прыгающими поганками.",original
5509,"Гарри понял, что на время его противник заворожен, выведен из строя; даже призрачная возможность, что Гарри и в самом деле знает последнюю тайну, удерживала его от удара…",original
4172,"- Дамблдор поколебался немного, затем сказал: - Гарри, я обещал взять тебя с собой и от обещания не отказываюсь, однако я не исполнил бы своего долга, если бы не предупредил тебя: все это может оказаться чрезвычайно опасным.",original
